Name,Dialogue,NextRow,Datatable,EndDialogue?,CharacterName,EN,JP,Actionable?,KR,CH,DE,TH,PH,PT,FR,ES,RU
ch7_rontgen_1,"Jadi... cuma sampai di sini, ya?",ch7_rontgen_2,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,"So… this is it, huh",だから…これが最後なのか？,,"그래… 이게 끝이구나, 그렇지?",所以… 就是这样了吗？,"Also… das ist es, oder?",แล้ว...นี่มันใช่เลยเหรอ,"Kaya... ito na, huh","Então… é isso, hein","Alors… c’est ça, hein","Entonces… esto es todo, ¿eh?","Итак... вот оно, да?"
ch7_rontgen_2,"Nggak ada lagi lari di lapangan… nggak ada lagi pertandingan, nggak ada lagi turnamen…",ch7_rontgen_3,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,"No more running on the court… no more games, no more tournaments",もうコートを走り回ることも…試合も、トーナメントもない…,,"더 이상 코트에서 달리지 않아… 더 이상 경기, 토너먼트도 없어…",不再在球场上奔跑… 不再有比赛，也不再有锦标赛…,"Nicht mehr auf dem Spielfeld rennen… keine Spiele mehr, keine Turniere mehr…",ไม่ต้องวิ่งบนสนามอีกต่อไป… ไม่ต้องเล่นเกมอีกต่อไป ไม่ต้องแข่งขันอีกต่อไป,"Wala nang tatakbo sa court... wala nang mga laro, wala nang mga paligsahan","Chega de correr na quadra… chega de jogos, chega de torneios","Plus de course sur le terrain… plus de matchs, plus de tournois","No más carreras en la cancha… no más juegos, no más torneos","Больше никаких беготни по корту… никаких игр, никаких турниров."
ch7_rontgen_3,Katanya tulangnya terlalu rapuh sekarang,ch7_rontgen_4,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,They said my bones are too fragile now,医者は言う、もう骨が脆すぎると,,이제 내 뼈가 너무 약하다고들 해,他们说我的骨头现在太脆弱了,"Man sagt, meine Knochen seien jetzt zu zerbrechlich",พวกเขาบอกว่ากระดูกของฉันเปราะบางเกินไปแล้ว,"Sabi nila, masyadong marupok ang mga buto ko ngayon",Eles disseram que meus ossos estão muito frágeis agora,Ils ont dit que mes os étaient trop fragiles maintenant,Dijeron que mis huesos son demasiado frágiles ahora.,"Они сказали, что мои кости теперь слишком хрупкие."
ch7_rontgen_4,Satu langkah yang salah… dan semuanya bisa retak lagi,ch7_rontgen_5,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,One wrong step and everything could break again,一歩間違えれば、すべてがまた壊れてしまう,,한 걸음만 잘못 내디뎌도… 모든 게 다시 부서질 수 있어,一步走错… 一切都可能再次破碎,Ein falscher Schritt… und alles könnte wieder brechen,พลาดแค่ก้าวเดียว ทุกอย่างก็อาจพังทลายลงอีกครั้ง,Isang maling hakbang at lahat ay maaaring masira muli,Um passo em falso e tudo pode quebrar novamente,Un faux pas et tout pourrait s'effondrer à nouveau,Un paso en falso y todo podría volver a romperse.,"Один неверный шаг, и всё может снова сломаться."
ch7_rontgen_5,"Basket itu satu-satunya yang tersisa… dari mereka, dan dari diriku sendiri",ch7_rontgen_6,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,"Basketball was the only thing left. From them, and from me",バスケットボールは唯一残されたもの…彼らのものでも、俺自身のものでも,,농구만이 남아 있어… 그들과 나 자신에게서 남은 유일한 것,篮球是唯一剩下的东西… 关于他们，也关于我自己,"Basketball ist das Einzige, was bleibt… von ihnen und von mir selbst",บาสเกตบอลเป็นสิ่งเดียวที่เหลืออยู่ จากพวกเขา และจากฉัน,"Basketball na lang ang natitira. Mula sa kanila, at mula sa akin",O basquete era a única coisa que restava. Deles e de mim,"Le basket était la seule chose qui restait. D'eux, et de moi",El baloncesto era lo único que quedaba. De ellos y de mí.,"Баскетбол был единственным, что осталось. И от них, и от меня."
ch7_rontgen_6,Mungkin mereka benar,ch7_rontgen_7,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,Maybe they are right,もしかしたら、彼らの言う通りかもしれない,,아마도 맞는 말일 거야,也许他们是对的,Vielleicht haben sie recht,บางทีพวกเขาอาจจะพูดถูก,Siguro tama sila,Talvez eles estejam certos,Peut-être qu'ils ont raison,Quizás tengan razón,Может быть они правы.
ch7_rontgen_7,Mungkin... memang waktunya aku melepaskan,None,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',True,,Maybe it really is time to let go,もしかしたら…手放す時が来たのかもしれない,,아마… 이제 놓아줄 때일지도 몰라,也许… 是时候放手了,"Vielleicht… ist es Zeit, loszulassen",บางทีอาจถึงเวลาที่ต้องปล่อยวางจริงๆ,Siguro oras na talaga para bumitaw,Talvez seja realmente a hora de deixar ir,Peut-être qu'il est vraiment temps de lâcher prise,Quizás realmente sea hora de dejarlo ir.,"Может быть, действительно пришло время отпустить"
ch7_jordan_1,Aku selalu mengaguminya,ch7_jordan_2,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,I always admired him,俺はいつも彼を尊敬していた,,난 항상 그를 존경했어,我一直很钦佩他,Ich habe ihn immer bewundert,ฉันชื่นชมเขาเสมอ,Lagi ko siyang hinahangaan,Eu sempre o admirei,Je l'ai toujours admiré,Siempre lo admiré.,Я всегда восхищался им.
ch7_jordan_2,"Cara dia bermain, cara dia membawa dirinya di lapangan",ch7_jordan_3,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,"The way he played, the way he carried himself on the court",彼のプレイの仕方、コートでの立ち振る舞い,,"그가 뛰는 방식, 코트 위에서 자신을 다루는 방식",他打球的方式，他在球场上的风度,"Die Art, wie er spielte, die Art, wie er sich auf dem Spielfeld bewegte",วิธีการเล่นของเขา วิธีที่เขาประพฤติตัวในสนาม,"Ang paraan ng paglalaro niya, ang paraan ng pagdala niya sa court","A maneira como ele jogava, a maneira como ele se comportava na quadra","La façon dont il a joué, la façon dont il s'est comporté sur le terrain","La forma en la que jugaba, la forma en la que se comportaba en la cancha.","Как он играл, как он вел себя на корте."
ch7_jordan_3,"Tenang, tajam, seolah tidak pernah goyah",None,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',True,,"Calm, sharp, like nothing could shake him",落ち着いていて、鋭く、何も動じないように見えた,,"차분하고, 날카롭고, 결코 흔들리지 않는 듯한 모습",冷静、敏锐，仿佛从未动摇,"Ruhig, scharf, als wäre er niemals erschüttert",สงบ เฉียบคม ราวกับไม่มีอะไรสั่นคลอนเขาได้,"Kalmado, matalas, na parang walang makakayanan sa kanya","Calmo, afiado, como se nada pudesse abalá-lo","Calme, vif, comme si rien ne pouvait l'ébranler","Tranquilo, agudo, como si nada pudiera sacudirlo.","Спокойный, резкий, словно ничто не могло его поколебать."
