Name,ID,JP,EN,KR,CH,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
koran,"NSLOCTEXT(""[5AD89E1724D6A920726631A75D1C3CE3]"", ""6FE3E59C44AAACEF6F49B689663C4D7A"", ""Pulang dari Kejuaraan, Mobil Keluarga Meledak di Garsik\r\n\r\nKota Garsik, 12 Juli 2020 – Kecelakaan maut terjadi lima tahun lalu di Jalan Lembah Seruni. Mobil yang ditumpangi keluarga Santosa menabrak pohon dan meledak, menewaskan Jeffry Santosa (45) dan istrinya, Lestari Wulandari (42).\r\n\r\nPutra mereka, Michael Ryan Santosa (16), selamat namun mengalami patah kaki serius akibat terjepit dashboard mobil yang ringsek. Saat itu, keluarga ini baru saja pulang dari kejuaraan basket antar sekolah yang dimenangkan oleh Ryan.\r\n\r\nMobil diduga hilang kendali di tikungan licin usai hujan. Sesaat setelah benturan, terdengar ledakan hebat dan kobaran api melalap kendaraan. Ryan berhasil diselamatkan warga tak lama sebelum api membesar.\r\n\r\nPeristiwa ini menyisakan duka mendalam bagi warga Garsik, terutama komunitas olahraga tempat Ryan bernaung."")","NSLOCTEXT(""[5AD89E1724D6A920726631A75D1C3CE3]"", ""A877356540F55095AF7F969572FB8D95"", ""大会からの帰路、ガルシクで一家の車が爆発\r\n\r\nガルシク市、2020年7月12日 — 5年前、スルニ渓谷通りで悲惨な事故が発生しました。サントサ一家が乗っていた車が木に衝突して爆発し、ジェフリー・サントサ氏（45歳）と妻レスタリ・ウランダリさん（42歳）が死亡しました。\r\n\r\n息子のマイケル・ライアン・サントサさん（16歳）は一命を取り留めたものの、車のダッシュボードに足を挟まれ、重傷を負いました。当時、家族はライアンが優勝した学校間バスケットボール大会からの帰り道でした。\r\n\r\n事故は、雨の後で滑りやすくなっていたカーブで車が制御を失ったとみられています。衝突の直後、大きな爆発音とともに車が炎上。ライアンさんは炎が広がる前に住民によって救出されました。\r\n\r\nこの事故はガルシクの住民、特にライアンが所属していたスポーツコミュニティに深い悲しみを残しました。"")","NSLOCTEXT(""[5AD89E1724D6A920726631A75D1C3CE3]"", ""1DE551F24A8B21F73AA568A5F88ED2A5"", ""Returning from Championship, Family Car Explodes in Garsik\r\n\r\nGarsik City, July 12, 2020 – A fatal accident occurred five years ago on Lembah Seruni Street. The car carrying the Santosa family crashed into a tree and exploded, killing Jeffry Santosa (45) and his wife, Lestari Wulandari (42).\r\n\r\nTheir son, Michael Ryan Santosa (16), survived but suffered a severe leg fracture after being trapped by the crushed dashboard. At the time, the family had just returned from a school basketball championship won by Ryan.\r\n\r\nThe vehicle is suspected to have lost control on a slippery curve after rain. Moments after the collision, a loud explosion was heard and flames engulfed the car. Ryan was rescued by local residents shortly before the fire intensified.\r\n\r\nThis tragedy left a deep scar on the people of Garsik, especially within the sports community where Ryan belonged.\r\n\r\n"")","NSLOCTEXT(""[5AD89E1724D6A920726631A75D1C3CE3]"", ""0CF05CD649731E179D3A12BEFB24C2C4"", ""대회에서 돌아오던 중, 가족 차량 가르식에서 폭발\r\n\r\n가르식시, 2020년 7월 12일 – 5년 전, 렘바 세루니 거리에서 치명적인 사고가 발생했습니다. 산토사 가족이 타고 있던 차량이 나무를 들이받은 뒤 폭발해, 제프리 산토사(45)와 그의 아내 레스타리 울란다리(42)가 사망했습니다.\r\n\r\n그들의 아들 마이클 라이언 산토사(16)는 살아남았지만, 차량 대시보드에 갇혀 심각한 다리 골절을 입었습니다. 당시 가족은 라이언이 우승한 학교 농구 대회에서 막 돌아오던 중이었습니다.\r\n\r\n사고 차량은 비가 내린 뒤 미끄러운 커브 길에서 통제력을 잃은 것으로 보입니다. 충돌 직후 큰 폭발음이 들렸고, 차량은 화염에 휩싸였습니다. 라이언은 불길이 번지기 직전 마을 주민들에 의해 구조되었습니다.\r\n\r\n이 사건은 가르식 시민들, 특히 라이언이 몸담고 있던 스포츠 커뮤니티에 깊은 슬픔을 남겼습니다."")","NSLOCTEXT(""[5AD89E1724D6A920726631A75D1C3CE3]"", ""1DE551F24A8B21F73AA568A5F88ED2A5"", ""从冠军赛归来，家庭汽车在加尔西克爆炸\r\n\r\n加尔西克市，2020年7月12日 – 五年前，位于茉莉谷街发生了一起致命事故。搭载桑托萨家庭的汽车撞上一棵树并爆炸，导致杰弗里·桑托萨（45岁）及其妻子莱斯塔丽·武兰达里（42岁）丧生。\r\n\r\n他们的儿子迈克尔·瑞安·桑托萨（16岁）幸存，但被压坏的仪表板困住后造成严重腿部骨折。当时，家庭刚从瑞安赢得的学校篮球冠军赛归来。\r\n\r\n事故车辆疑因雨后湿滑弯道失控。碰撞发生后不久，传来一声巨响，火焰吞没了汽车。瑞安在火势加剧前不久被当地居民救出。\r\n\r\n这一悲剧在加尔西克人民心中留下了深深的伤痕，尤其是在瑞安所属的体育社区中。"")","NSLOCTEXT(""[5AD89E1724D6A920726631A75D1C3CE3]"", ""1DE551F24A8B21F73AA568A5F88ED2A5"", ""Nach der Rückkehr von der Meisterschaft explodiert das Familienauto in Garsik\r\n\r\nGarsik-Stadt, 12. Juli 2020 – Vor fünf Jahren ereignete sich in der Lembah Seruni Straße ein tödlicher Unfall. Das Auto der Familie Santosa prallte gegen einen Baum und explodierte, wobei Jeffry Santosa (45) und seine Frau Lestari Wulandari (42) getötet wurden.\r\n\r\nIhr Sohn, Michael Ryan Santosa (16), überlebte, erlitt jedoch einen schweren Beinbruch, nachdem er von dem zerquetschten Armaturenbrett eingeklemmt wurde. Zu diesem Zeitpunkt war die Familie gerade von einer Schul-Basketballmeisterschaft zurückgekehrt, die Ryan gewonnen hatte.\r\n\r\nEs wird vermutet, dass das Fahrzeug auf einer rutschigen Kurve nach Regen die Kontrolle verlor. Kurz nach der Kollision war eine laute Explosion zu hören, und Flammen erfassten das Auto. Ryan wurde kurz vor der Verschärfung des Feuers von Anwohnern gerettet.\r\n\r\nDiese Tragödie hinterließ tiefe Spuren bei den Menschen in Garsik, insbesondere in der Sportgemeinschaft, der Ryan angehörte."")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rontgen,,汚らしいクソ野郎、クソ野郎、クソ野郎、クソ野郎、クソ野郎、愚かな女、クソ野郎、地獄で腐れろ,,"더럽고 빌어먹을 놈, 멍청하고 똥같은 놈, 미친년, 씨발년, 새끼야, 멍청한 년, 씨발년 지옥에서 썩어라 썩어라",你这个肮脏的小混蛋，愚蠢的混蛋，满嘴的屎，你这个疯女人，混蛋，你这个混蛋，你这个混蛋，你这个狗娘养的，弱智的贱人，下地狱去吧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
message_from_sarah,"Berapa lama lagi kamu mau terus lari? Besok, datang. Kita harus bicara... serius",あとどれくらい走り続けるつもりだ？ 明日、来てくれ。話がある…本気で,"How much longer will you keep running? Tomorrow, come. We need to talk… seriously",얼마나 더 도망칠 거야? 내일 와. 얘기해야 해… 진지하게,你还要逃跑多久？明天，来。我们需要谈谈…认真地,Wie lange willst du noch weglaufen? Komm morgen. Wir müssen reden… ernsthaft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is_attending_sarah,"Sudah lama aku tidak kembali… mungkin kini saatnya, sebelum segalanya lepas kendali",戻ってきてから久しい…そろそろかもしれない、全てが制御不能になる前に,"It’s been a long time since I came back… maybe now’s the time, before everything spirals out of control","돌아온 지 오래됐어… 아마 지금이야, 모든 게 통제 불능이 되기 전에",我回来已经很久了…也许现在是时候，在一切失控之前,"Es ist lange her, dass ich zurückgekommen bin… vielleicht ist jetzt die Zeit, bevor alles außer Kontrolle gerät",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reply_sarah_1,"Besok, aku akan datang",明日、来るよ,"Tomorrow, I will come","내일, 갈게",明天，我会来,Morgen werde ich kommen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reply_sarah_2,(Abaikan),（無視）,(Ignore),(무시),（忽略）,(Ignorieren),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pill_question,Minum obat ini?,この薬を飲む？,Take this medicine?,이 약 먹을래?,吃这个药吗？,Dieses Medikament nehmen?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pill_yes,"Minum, lalu tidur",飲んで、それから寝ろ,"Take it, then sleep","먹고, 그다음에 자",吃了，然后睡觉,"Nimm es, und dann schlafe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pill_no,Aku tidak membutuhkan ini...,いらない…,I don’t need this…,필요 없는데…,我不需要这个…,Ich brauche das nicht…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
