Name,Dialogue,NextRow,Datatable,EndDialogue?,CharacterName,EN,JP,Actionable?,KR,CH,DE,TH,PH,PT,FR,ES,RU,VI
ch1_intro,"Hari ini benar-benar menguras tenaga... Aku hanya ingin makan, mandi, lalu tidur.",None,/Script/Engine.DataTable'/Game/Dialogue/Chapter1_Dialogue.Chapter1_Dialogue',true,,"Today really wore me out... I just want to eat, shower, and sleep.",今日は本当に疲れた…ただ食べて、シャワーを浴びて、ベッドに倒れ込みたい。,false,"오늘은 정말 기운이 다 빠졌어… 밥 먹고, 씻고, 곧장 자고 싶다.",今天真是累坏了……我只想吃点东西、洗个澡，然后直接倒在床上。,"Heute war wirklich anstrengend… Ich möchte einfach nur essen, duschen und ins Bett fallen.",วันนี้เหนื่อยเหลือเกิน… ฉันแค่อยากกินข้าว อาบน้ำ แล้วก็ล้มตัวลงนอน,"Napagod talaga ako ngayong araw... Gusto ko lang kumain, mag-shower, at matulog.","Hoje realmente me cansei... Só quero comer, tomar banho e dormir.","Aujourd'hui, j'ai été vraiment épuisé... Je veux juste manger, prendre une douche et dormir.","Hoy realmente me desgastó... Solo quiero comer, ducharme y dormir.","Сегодня я действительно вымоталась... Я просто хочу есть, принимать душ и спать.","Hôm nay mình thật sự kiệt sức... chỉ muốn ăn, tắm và ngủ thôi."
ch1_welcome,Akhirnya sampai juga...,ch1_welcome2,/Script/Engine.DataTable'/Game/Dialogue/Chapter1_Dialogue.Chapter1_Dialogue',false,,Finally home...,ついにここに着いた…,false,드디어 집에 도착했어.,终于到了……,Endlich hier…,ในที่สุดก็มาถึงแล้ว…,Nakauwi na rin sa wakas...,Finalmente em casa...,Enfin à la maison...,Por fin en casa...,Наконец-то дома...,Cuối cùng cũng về nhà rồi..
ch1_welcome2,Masak pun rasanya berat. Makanan beku saja cukup... aku tidak punya tenaga untuk repot malam ini.,None,/Script/Engine.DataTable'/Game/Dialogue/Chapter1_Dialogue.Chapter1_Dialogue',true,,Cooking feels too much. Frozen food is fine... I don’t have the energy tonight.,料理するのも面倒に感じる。冷凍食品で十分…今夜は力が出ない。,false,"요리할 기운은커녕, 냉동 식품이면 충분하다고 느껴져… 오늘 밤은 너무 힘들다.",连做饭都觉得太麻烦了。冷冻食品也行……今晚我没有力气。,Selbst das Kochen fühlt sich zu anstrengend an. Tiefkühlkost tut es auch… Ich habe heute Abend keine Kraft.,แม้แต่การทำอาหารก็รู้สึกว่าเป็นงานหนักเกินไป อาหารแช่แข็งก็คงพอแล้ว… คืนนี้ฉันไม่มีแรงแล้ว,Sobra ang pakiramdam ng pagluluto. Ayos ang frozen food... I don’t have the energy tonight.,Cozinhar é demais. Comida congelada também... Não tenho energia hoje à noite.,"Cuisiner, c'est trop. Les surgelés, ça va… Je n'ai pas d'énergie ce soir.",Cocinar me parece demasiado. La comida congelada está bien... No tengo energía esta noche.,"Кажется, готовить слишком утомительно. Замороженные продукты вполне подойдут... Сегодня вечером у меня нет сил.",Nấu ăn thì mệt quá. Đồ ăn đông lạnh cũng được.. tối nay mình không còn sức nữa.
ch1_mandi,Aku harus mandi... Badan ini terasa seperti rongsokan,ch1_mandi2,/Script/Engine.DataTable'/Game/Dialogue/Chapter1_Dialogue.Chapter1_Dialogue',false,,I need a shower... My body feels heavy.,シャワーを浴びなきゃ…体がバラバラになりそうだ。,false,꼭 씻어야 해… 몸이 완전히 망가진 듯한 느낌이야.,我应该洗个澡……我的身体感觉快散架了。,"Ich sollte duschen… Mein Körper fühlt sich an, als würde er auseinanderfallen.",ฉันควรไปอาบน้ำ… ร่างกายฉันเหมือนกำลังจะพังลง,I need a shower... Ang bigat ng katawan ko.,Preciso de um banho... Meu corpo está pesado.,J'ai besoin d'une douche... Mon corps est lourd.,Necesito una ducha... Mi cuerpo se siente pesado.,Мне нужен душ... Тело кажется тяжелым.,"Mình cần đi tắm, cơ thể thấy nặng nề quá."
ch1_mandi2,Sedikit air hangat mungkin bisa membantu menyegarkan pikiranku,None,/Script/Engine.DataTable'/Game/Dialogue/Chapter1_Dialogue.Chapter1_Dialogue',true,,Maybe warm water will help clear my head.,少し温かい水を飲めば、頭がすっきりするかもしれない。,false,"따뜻한 물이라도 조금 있으면, 머리가 더 맑아질 것 같아.",也许喝一点温水能让头脑清醒些。,"Vielleicht hilft ein bisschen warmes Wasser, um meinen Kopf frei zu bekommen.",บางทีน้ำอุ่นอาจช่วยให้หัวใจปลอดโปร่งขึ้นได้,Baka maligamgam na tubig ang ulo ko.,Talvez água morna ajude a clarear minha mente.,Peut-être que l’eau chaude m’aidera à me vider la tête.,Quizás el agua tibia me ayude a aclarar la cabeza.,"Может быть, теплая вода поможет мне прочистить голову.",Có lẽ nước ấm sẽ giúp mình tỉnh táo hơn.
ch1_photo,Setiap kali melihat foto ini... rasanya sulit untuk tidak mengingat malam itu,None,/Script/Engine.DataTable'/Game/Dialogue/Chapter1_Dialogue.Chapter1_Dialogue',true,,Every time I look at this photo... I can’t stop thinking about that night.,この写真を見るたびに…あの夜のことを思い出さずにはいられない。,false,"이 사진을 볼 때마다… 그날 밤이 자꾸 떠올라서, 잊기 어려워.",每次看到这张照片……我忍不住想起那晚的事情。,"Jedes Mal, wenn ich dieses Foto anschaue… kann ich nicht anders, als mich an diese Nacht zu erinnern.",ทุกครั้งที่มองรูปถ่ายนี้… ฉันอดไม่ได้ที่จะนึกถึงคืนนั้น,Sa tuwing tinitingnan ko ang larawang ito... hindi ko maiwasang isipin ang gabing iyon.,Toda vez que olho para essa foto... não consigo parar de pensar naquela noite.,Chaque fois que je regarde cette photo... Je ne peux pas arrêter de penser à cette nuit.,Cada vez que miro esta foto... no puedo dejar de pensar en esa noche.,"Каждый раз, когда я смотрю на эту фотографию... я не могу перестать думать о той ночи.",Mỗi lần nhìn thấy bức ảnh này... lại không ngừng nhớ đến đêm hôm đó.
ch1_capek,Aku masih harus mengerjakan tugas malam ini...,ch1_capek,/Script/Engine.DataTable'/Game/Dialogue/Chapter1_Dialogue.Chapter1_Dialogue',true,,I still have homework to finish tonight...,今夜はまだ宿題を終わらせなければならない…,false,오늘 밤까지 과제를 끝내야 해… ,今晚我还得做作业……,Ich muss heute Abend noch meine Hausaufgaben erledigen…,ฉันยังมีการบ้านที่ต้องทำให้เสร็จคืนนี้…,May takdang aralin pa akong dapat tapusin ngayong gabi...,Ainda tenho lição de casa para terminar hoje à noite...,J'ai encore des devoirs à finir ce soir...,Todavía tengo tarea que terminar esta noche...,Мне еще нужно закончить домашнее задание сегодня вечером...,Tối nay mình vẫn còn phải làm bài tập.
ch1_wrongway1,Tidak. Aku tidak suka melewati jalan itu.,ch1_wrongway2,/Script/Engine.DataTable'/Game/Dialogue/Chapter1_Dialogue.Chapter1_Dialogue',true,,No. I don’t want to go that way.,いや。その道は好きじゃない。,false,아니야. 나는 그 길을 지나고 싶지 않아.,不。我不喜欢走那条路。,Nein. Ich mag diesen Weg nicht.,ไม่… ฉันไม่อยากไปทางนั้น,Hindi. Ayokong pumunta sa ganoong paraan.,Não. Eu não quero ir por esse caminho.,"Non, je ne veux pas aller dans cette direction.",No. No quiero ir por ese camino.,Нет. Я не хочу идти этим путем.,Không. Mình không muốn đi đường đó.
ch1_wrongway2,Bukan itu jalanan yang biasa aku lalui,ch1_wrongway3,/Script/Engine.DataTable'/Game/Dialogue/Chapter1_Dialogue.Chapter1_Dialogue',true,,That’s not the way I usually take.,普段通る道ではない。,false,그건 내가 평소 다니던 길이 아니야.,那不是我平常走的路。,"Das ist nicht der Weg, den ich normalerweise gehe.",นั่นไม่ใช่เส้นทางที่ฉันใช้กลับบ้านตามปกติ,Hindi iyon ang karaniwang paraan na ginagawa ko.,Não é assim que costumo agir.,Ce n’est pas comme ça que je réagis habituellement.,Ese no es el camino que suelo tomar.,Я обычно так не поступаю.,Đó đâu phải là con đường mình hay đi.
ch1_wrongway3,Salah arah.,ch1_wrongway4,/Script/Engine.DataTable'/Game/Dialogue/Chapter1_Dialogue.Chapter1_Dialogue',true,,Wrong way.,間違った方向だ。,false,방향이 틀렸어.,方向错了。,Falsche Richtung.,ฉันกำลังไปผิดทาง,Maling paraan.,Caminho errado.,Mauvaise façon.,Camino equivocado.,Неправильный путь.,Sai đường rồi.
ch1_wrongway4,Aku tidak ingin lewat jalan itu,ch1_wrongway1,/Script/Engine.DataTable'/Game/Dialogue/Chapter1_Dialogue.Chapter1_Dialogue',true,,I don’t want to go there.,その道には足を踏み入れたくない。,false,그 길은 내가 가고 싶지 않은 길이야.,我不想踏上那条路。,Diesen Weg will ich nicht betreten.,ฉันไม่อยากไปทางนั้น,Ayokong pumunta doon.,Eu não quero ir lá.,Je ne veux pas y aller.,No quiero ir allí.,Я не хочу туда идти.,Mình không muốn đến đó.
ch1_sarah,"Sabtu ini datang, ya. Kita sudah lama nggak ngobrol",ch1_sarah,/Script/Engine.DataTable'/Game/Dialogue/Chapter1_Dialogue.Chapter1_Dialogue',true,Sarah,"Come this Saturday, okay? It’s been a while since we talked.",今週の土曜日がもうすぐだ…しばらく話していなかった。,false,토요일에 보자. 우리 오랜만이니까 얘기도 좀 하자,这个星期六快到了……我们已经有一阵子没聊了。,"Dieser Samstag steht kurz bevor… Es ist eine Weile her, seit wir das letzte Mal gesprochen haben.",วันเสาร์นี้ใกล้เข้ามาแล้ว… ก็ผ่านมานานแล้วตั้งแต่เราคุยกันครั้งล่าสุด,"Halika ngayong Sabado, okay? Ang tagal na nung nag-usap kami.","Venha neste sábado, ok? Faz tempo que não conversamos.","Viens samedi, d'accord ? Ça fait un bail qu'on ne s'est pas parlé.","Ven este sábado, ¿vale? Hace tiempo que no hablamos.","Приходи в эту субботу, ладно? Давно мы не разговаривали.",Thứ 7 này gặp nhau nhé? Cũng đã lâu rồi chúng mình chưa nói chuyện.
ch1_belajar,"Setelah bekerja seharian, sekarang harus mengerjakan tugas?",ch1_belajar2,/Script/Engine.DataTable'/Game/Dialogue/Chapter1_Dialogue.Chapter1_Dialogue',false,,"After working all day, now I still have to study?",一日中働いた後に…今度は宿題まで？,false,"하루 종일 일하고 나서, 지금 과제해야 한다고?",整天工作之后……现在还得做作业吗？,Nach einem ganzen Arbeitstag… und jetzt auch noch Hausaufgaben?,หลังจากทำงานมาทั้งวัน… แล้วยังมีการบ้านอีกเหรอ?,"Pagkatapos ng buong araw na trabaho, ngayon kailangan ko pang mag-aral?","Depois de trabalhar o dia todo, ainda tenho que estudar?","Après avoir travaillé toute la journée, je dois encore étudier ?","Después de trabajar todo el día, ¿ahora todavía tengo que estudiar?","Проработав весь день, мне теперь еще и учиться?","Cả ngày đã làm việc rồi, giờ vẫn còn phải học nữa sao?"
ch1_belajar2,Aku harus lulus tepat waktu. Beasiswaku hanya berlaku sampai semester delapan.,ch1_belajar3,/Script/Engine.DataTable'/Game/Dialogue/Chapter1_Dialogue.Chapter1_Dialogue',false,,I need to graduate on time. My scholarship only lasts until the eighth semester.,期限通りに卒業しなければならない。奨学金は8学期までしか有効じゃない。,false,제때 졸업해야 해. 장학금은 8학기까지만 유효하니까. 실패는 없어.,我必须按时毕业。我的奖学金只到第八学期。,Ich muss pünktlich meinen Abschluss machen. Mein Stipendium gilt nur bis zum achten Semester.,ฉันต้องเรียนให้จบตรงเวลา ทุนการศึกษามีแค่ถึงภาคเรียนที่แปด,Kailangan kong maka-graduate on time. Ang scholarship ko ay hanggang ikawalong semestre lang.,Preciso me formar no prazo. Minha bolsa só dura até o oitavo semestre.,Je dois obtenir mon diplôme à temps. Ma bourse ne dure que jusqu'au huitième semestre.,Necesito graduarme a tiempo. Mi beca solo dura hasta el octavo semestre.,Мне нужно закончить учёбу вовремя. Моя стипендия действует только до восьмого семестра.,Mình phải tốt nghiệp đúng hạn. Học bổng chỉ kéo dài đến kỳ 8 thôi.
ch1_belajar3,Tidak ada ruang untuk gagal.,None,/Script/Engine.DataTable'/Game/Dialogue/Chapter1_Dialogue.Chapter1_Dialogue',true,,I can’t afford to fail.,失敗の余地はない。,false,실수할 여유가 없어.,没有失败的余地。,Es gibt keinen Spielraum für Fehler.,ไม่มีที่ว่างให้ล้มเหลว,Hindi ko kayang mabigo.,Não posso me dar ao luxo de falhar.,Je ne peux pas me permettre d’échouer.,No puedo permitirme el lujo de fracasar.,Я не могу позволить себе потерпеть неудачу.,Mình không thể trượt được.
ch1_janitor_greeting,Selamat malam,ch1_janitor_greeting,/Script/Engine.DataTable'/Game/Dialogue/Chapter1_Dialogue.Chapter1_Dialogue',true,Janitor,Good night.,おやすみ。,false,좋은 밤 되길.,晚安。,Gute Nacht.,ราตรีสวัสดิ์,Magandang gabi.,Boa noite.,Bonne nuit.,Buenas noches.,Спокойной ночи.,Chúc ngủ ngon nhé.
ch1_roomno,Aku tinggal di unit 201 sekarang,ch1_roomno2,/Script/Engine.DataTable'/Game/Dialogue/Chapter1_Dialogue.Chapter1_Dialogue',false,,I’m living in unit 201 now.,今は201号室に住んでいる。,false,지금 나는 201호에 살고 있어.,我现在住在201号房。,Ich wohne jetzt in Wohnung 201.,ตอนนี้ฉันอยู่ห้อง 201 แล้ว,Nakatira ako sa unit 201 ngayon.,Estou morando na unidade 201 agora.,Je vis dans l’unité 201 maintenant.,Ahora vivo en la unidad 201.,Сейчас я живу в квартире 201.,Giờ mình đang ở phòng 201.
ch1_roomno2,Entah sejak kapan pindah dari 208... rasanya sudah lama,ch1_roomno3,/Script/Engine.DataTable'/Game/Dialogue/Chapter1_Dialogue.Chapter1_Dialogue',false,,I’m not sure when I moved out of 208... it feels like it’s been a long time.,208号室をいつ出たか覚えていない…ずいぶん前のことのように感じる。,false,언제 208호에서 이사 왔는지 모르겠지만… 오래된 기분이야.,我甚至不记得什么时候搬出208号房……感觉已经很久了。,"Ich kann mich nicht einmal erinnern, wann ich aus 208 ausgezogen bin… Es fühlt sich an, als wäre es ewig her.",ฉันแทบไม่จำได้เลยว่าตอนไหนย้ายออกจากห้อง 208… รู้สึกเหมือนผ่านมานานมากแล้ว,I’m not sure when I moved out of 208... parang ang tagal na.,Não tenho certeza de quando saí do 208... parece que faz muito tempo.,Je ne sais pas exactement quand j’ai quitté le 208… j’ai l’impression que ça fait longtemps.,No estoy seguro de cuándo me mudé del 208... parece que ha pasado mucho tiempo.,"Я не уверен, когда я переехал из 208... такое ощущение, что это было давно.",Mình không chắc khi nào đã rời khỏi 208 nữa... cảm giác như lâu lắm rồi.
ch1_roomno3,Aku ingin pemandangan yang lebih baik,None,/Script/Engine.DataTable'/Game/Dialogue/Chapter1_Dialogue.Chapter1_Dialogue',true,,I wish I had a better view.,もっといい景色が見たい。,false,더 나은 풍경을 보고 싶어.,我想要更好的景色。,Ich möchte eine bessere Aussicht haben.,ฉันอยากได้วิวที่ดีกว่านี้,Sana maganda ang view ko.,Gostaria de ter uma vista melhor.,J'aurais aimé avoir une meilleure vue.,Desearía tener una mejor vista.,Мне бы хотелось иметь лучший обзор.,Ước gì mình có tầm nhìn đẹp hơn.
ch1_dinner,Makan malam sendirian seperti ini… lama-lama terasa lebih sunyi daripada yang kukira.,None,/Script/Engine.DataTable'/Game/Dialogue/Chapter1_Dialogue.Chapter1_Dialogue',true,,Having dinner alone like this… it feels lonelier than I thought.,一人で食事をすると…しばらくすると静けさが思ったより重く感じる。,false,이렇게 혼자 저녁 먹는 것도… 시간이 지나면 생각보다 훨씬 더 쓸쓸하게 느껴지더라.,像这样一个人吃饭……过了一会儿，寂静比我想象的更沉重。,"Wenn ich allein esse… fühlt sich die Stille nach einer Weile schwerer an, als ich gedacht hätte.",การกินข้าวคนเดียวแบบนี้… ผ่านไปสักพัก ความเงียบมันกลับรู้สึกหนักกว่าที่คิด,Ang hapunan mag-isa ng ganito... mas nararamdaman kong nag-iisa kaysa inaakala ko.,Jantar sozinho assim… me sinto mais solitário do que pensava.,Dîner seul comme ça… je me sens encore plus seul que je ne le pensais.,Cenar sola así… me siento más sola de lo que pensaba.,"Ужинать в одиночестве вот так... ощущаешь себя более одиноко, чем я думала.",Ăn tối một mình thế này... cảm giác cô đơn hơn mình nghĩ.
ch1_shower,"Rasanya aku hanya ingin langsung tidur,",ch1_shower2,/Script/Engine.DataTable'/Game/Dialogue/Chapter1_Dialogue.Chapter1_Dialogue',false,,I just want to go to bed,ただベッドに潜り込みたい、,false,"그냥 바로 자고 싶을 뿐이야, 정말.",我只想爬上床，,"Ich möchte einfach ins Bett kriechen,",ฉันแค่อยากคลานขึ้นเตียง,Gusto ko lang matulog,Eu só quero ir para a cama,Je veux juste aller au lit,Solo quiero irme a la cama,Я просто хочу пойти спать.,Chỉ muốn ngủ thôi.
ch1_shower2,tapi masih ada tugas yang harus kuselesaikan malam ini,None,/Script/Engine.DataTable'/Game/Dialogue/Chapter1_Dialogue.Chapter1_Dialogue',true,,but I still have work to finish tonight,でも今夜終わらせなければならない仕事がまだある。,false,그런데 오늘 밤에도 끝내야 할 과제가 남아 있어.,但今晚还有工作必须完成。,"aber ich habe noch Arbeit, die ich heute Abend erledigen muss.",แต่ยังมีงานที่ต้องทำให้เสร็จคืนนี้,pero may kailangan pa akong tapusin ngayong gabi,mas ainda tenho trabalho para terminar esta noite,mais j'ai encore du travail à finir ce soir,pero todavía tengo trabajo que terminar esta noche,но мне еще нужно закончить работу сегодня вечером,Nhưng tối nay vẫn còn việc phải làm.
ch1_blocked,Rumahku bukan ke arah situ,ch1_blocked,/Script/Engine.DataTable'/Game/Dialogue/Chapter1_Dialogue.Chapter1_Dialogue',true,,My place isn’t that way.,ここは私の家じゃない。,false,내 집은 저쪽 방향이 아니야.,这里不是我的家。,Dies ist nicht mein Zuhause.,นี่ไม่ใช่บ้านของฉัน,Ang aking lugar ay hindi ganoon.,Meu lugar não é assim.,Mon endroit n’est pas comme ça.,Mi lugar no es por allá,Моё место не там.,Nhà mình không ở hướng đó.
ch1_customer,Maaf membuatmu menunggu...,ch1_customer_2,/Script/Engine.DataTable'/Game/Dialogue/Chapter1_Dialogue.Chapter1_Dialogue',false,,Sorry for keeping you waiting...,お待たせしてすみません…,false,기다리게 해서 미안해…,抱歉让你久等了……,Entschuldige die Wartezeit…,ขอโทษที่ทำให้คุณรอนะ…,Sorry kung pinaghintay kita...,Desculpe por fazer você esperar...,Désolé de vous avoir fait attendre...,Perdón por hacerte esperar...,"Извините, что заставил вас ждать...",Xin lỗi vì đã để mình chờ.
ch1_customer_2,Ada tambahan lain?,ch1_customer_3,/Script/Engine.DataTable'/Game/Dialogue/Chapter1_Dialogue.Chapter1_Dialogue',false,,Anything else?,他に何かご注文は？,false,다른 건 더 있어?,还需要别的吗？,Möchten Sie sonst noch etwas?,คุณต้องการอะไรเพิ่มไหมครับ?,May iba pa ba?,Algo mais?,Autre chose?,¿Algo más?,Что-нибудь еще?,Còn gì nữa không ạ?
ch1_customer_3,Tidak ada,ch1_customer_4,/Script/Engine.DataTable'/Game/Dialogue/Chapter1_Dialogue.Chapter1_Dialogue',false,Customer,That’s all.,いいえ。,false,없어.,不用了。,Nein.,ไม่ครับ,Iyon lang.,Isso é tudo.,C’est tout.,Eso es todo.,Вот и все.,Hết rồi.
ch1_customer_4,.,ch1_customer_5,/Script/Engine.DataTable'/Game/Dialogue/Chapter1_Dialogue.Chapter1_Dialogue',false,,.,.,false,,.,.,.,.,.,.,.,.,.
ch1_customer_5,..,ch1_customer_6,/Script/Engine.DataTable'/Game/Dialogue/Chapter1_Dialogue.Chapter1_Dialogue',false,,..,..,false,,..,..,..,..,..,..,..,..,..
ch1_customer_6,"Baik totalnya Rp9,000",ch1_customer_7,/Script/Engine.DataTable'/Game/Dialogue/Chapter1_Dialogue.Chapter1_Dialogue',false,,"Alright, that’ll be $1.50.",合計は1.5ドルです。,True,"좋아요, 총액은 1.5달러이에요.",一共1.5美元。,"Das macht 1,50 Dollar.",ทั้งหมด 1.50 ดอลลาร์,"Sige, magiging $1.50 iyon.","Tudo bem, serão US$ 1,50.","Très bien, ça fera 1,50 $.","Está bien, serán $1.50.","Хорошо, это будет стоить 1,50 доллара.","Dạ vâng, của mình hết $1.50 ạ."
ch1_customer_7,"Terima kasih banyak, silahkan datang kembali",None,/Script/Engine.DataTable'/Game/Dialogue/Chapter1_Dialogue.Chapter1_Dialogue',true,,"Thanks, please come again.",ありがとうございます。またお越しください。,false,감사합니다. 또 오세요.,谢谢光临，请再来。,Danke. Kommen Sie wieder.,ขอบคุณครับ เชิญมาอีกนะครับ,"Salamat, mangyaring bumalik.","Obrigado, volte sempre.","Merci, à bientôt.","Gracias, por favor vuelve pronto.","Спасибо, приходите еще.","Cảm ơn ạ, mong quý khách ghé lại."
