Name,Dialogue,NextRow,Datatable,EndDialogue?,CharacterName,EN,JP,Actionable?,KR,CH,DE,TH,PH
ch6_intro_0,Setiap langkah terasa sama,ch6_intro_1,/Script/Engine.DataTable'/Game/Dialogue/Chapter6_Dialogue.Chapter6_Dialogue',False,,Every step feels the same.,一歩一歩が同じに感じる。,,모든 걸음을 똑같이 느껴,每一步都感觉一样。,Jeder Schritt fühlt sich gleich an.,ทุกก้าวรู้สึกเหมือนกัน,Bawat hakbang ay pareho.
ch6_intro_1,"Sama kosongnya, sama sia-sianya",ch6_intro_2,/Script/Engine.DataTable'/Game/Dialogue/Chapter6_Dialogue.Chapter6_Dialogue',False,,"The same emptiness, the same pointlessness.",同じ虚しさ、同じ無意味さ。,,"공허함처럼, 헛됨처럼",同样的空虚，同样的徒劳。,"Die gleiche Leere, die gleiche Sinnlosigkeit.",ความว่างเปล่าเหมือนเดิม ความไร้จุดหมายเหมือนเดิม,"Ang parehong kawalan ng laman, ang parehong walang kabuluhan."
ch6_intro_2,Tak ada yang menunggu di ujung jalan ini,ch6_intro_3,/Script/Engine.DataTable'/Game/Dialogue/Chapter6_Dialogue.Chapter6_Dialogue',False,,No one’s waiting at the end of this road.,この道の先に待っているものは何もない。,,이 길 끝에는 아무도 나를 기다려주지 않아,这条路的尽头没有任何等待。,Am Ende dieses Weges wartet nichts.,ไม่มีใครรออยู่ที่ปลายถนนสายนี้,Walang naghihintay sa dulo ng kalsadang ito.
ch6_intro_3,Mereka bilang hidup harus terus berjalan. Tapi ke mana?,None,/Script/Engine.DataTable'/Game/Dialogue/Chapter6_Dialogue.Chapter6_Dialogue',True,,They say life has to go on. But where to?,人は「人生は続けなければならない」と言う。でも…どこへ？,,"사람들이 말하길, 인생은 계속 걸어가야 한다고 해. 하지만, 어디로 가야 하는 걸까?",他们说生活必须继续。但是…往哪里去？,"Man sagt, das Leben muss weitergehen. Aber… wohin?",เขาว่ากันว่าชีวิตต้องดำเนินต่อไป แต่จะไปไหนล่ะ?,"Sabi nila, kailangang magpatuloy ang buhay. Ngunit para saan?"
ch6_bus1,Aku tidak tidur nyenyak semalam…,ch6_bus2,/Script/Engine.DataTable'/Game/Dialogue/Chapter6_Dialogue.Chapter6_Dialogue',False,,I didn’t sleep well last night…,昨夜はよく眠れなかった…,,난 어젯밤 제대로 잠들지도 못했어…,昨晚我没睡好…,Letzte Nacht habe ich nicht gut geschlafen…,เมื่อคืนฉันนอนไม่หลับเลย…,hindi ako nakatulog ng maayos kagabi...
ch6_bus2,"Bukan karena mimpi buruk, tapi karena aku tidak tahu apakah semua itu nyata",ch6_bus3,/Script/Engine.DataTable'/Game/Dialogue/Chapter6_Dialogue.Chapter6_Dialogue',False,,"Not because of nightmares, but because I don’t even know if any of this is real.",悪夢のせいではなく、これが本当に現実だったのか分からないからだ。,,"악몽 때문이 아니라, 이 모든 게 현실인지조차 모르겠어서 그래",不是因为噩梦，而是因为我不知道这一切是否真实。,"Nicht wegen eines Albtraums, sondern weil ich nicht weiß, ob das alles real war.",ไม่ใช่เพราะฝันร้าย แต่เพราะฉันไม่รู้ด้วยซ้ำว่าทั้งหมดนี้เป็นจริงหรือไม่,"Hindi dahil sa mga bangungot, ngunit dahil hindi ko alam kung ang alinman sa mga ito ay totoo."
ch6_bus3,Mungkin aku memang sudah mulai kehilangan kewarasanku,ch6_bus4,/Script/Engine.DataTable'/Game/Dialogue/Chapter6_Dialogue.Chapter6_Dialogue',False,,Maybe I really am starting to lose my mind.,もしかしたら、僕は本当に正気を失い始めているのかもしれない。,,"아마도 나, 정신을 조금씩 잃어가고 있는지도 모르겠어",也许我真的开始失去理智了。,"Vielleicht habe ich wirklich begonnen, meinen Verstand zu verlieren.",บางทีฉันอาจจะเริ่มจะเสียสติจริงๆ แล้ว,Siguro nagsisimula na talaga akong magwala.
ch6_bus4,"Dulu aku pikir, setelah semua yang terjadi... aku bakal terbiasa dengan rasa kehilangan",ch6_bus5,/Script/Engine.DataTable'/Game/Dialogue/Chapter6_Dialogue.Chapter6_Dialogue',False,,I used to think that after everything I would get used to the feeling of loss,かつては、すべてが終わった後…喪失感に慣れると思っていた。,,예전엔 생각했어. “다 지나고 나면… 이 상실감에도 익숙해질 거야”라고.,我曾以为在一切发生之后…我会习惯失落的感觉。,"Früher dachte ich, dass ich nach all dem, was passiert ist… mich an das Gefühl des Verlusts gewöhnen würde.",ฉันเคยคิดว่าหลังจากผ่านอะไรมามากมาย ฉันคงจะชินกับความรู้สึกสูญเสีย,"Akala ko noon, pagkatapos ng lahat ay masasanay ako sa pakiramdam ng pagkawala"
ch6_bus5,"Tapi ternyata, yang datang bukan ketenangan",ch6_bus6,/Script/Engine.DataTable'/Game/Dialogue/Chapter6_Dialogue.Chapter6_Dialogue',False,,"But what came was not peace,",しかし訪れたのは平和ではなく—,,"그런데, 그게 아니더라. 편안함이 아니라",但到来的不是平静—,"Aber was kam, war kein Frieden—",แต่สิ่งที่ได้มาไม่ใช่ความสงบสุข,"Ngunit ang dumating ay hindi kapayapaan,"
ch6_bus6,Cuma kekosongan yang makin jadi-jadi,ch6_bus7,/Script/Engine.DataTable'/Game/Dialogue/Chapter6_Dialogue.Chapter6_Dialogue',False,,only a deeper emptiness,日に日に強まる深い虚しさだけだった。,,점점 더 깊어지는 허무감만 찾아왔어,而是每天都在增强的更深的空虚感。,"Nur eine immer stärker werdende Leere, die mit jedem Tag wächst.",เพียงความว่างเปล่าที่ลึกซึ้งยิ่งขึ้น,lamang ng isang mas malalim na kawalan ng laman
ch6_bus7,"Sekarang aku tidak yakin lagi... apakah aku benar-benar hidup,",ch6_bus8,/Script/Engine.DataTable'/Game/Dialogue/Chapter6_Dialogue.Chapter6_Dialogue',False,,Now I am not even sure,今、もう確信が持てない…僕は本当に生きているのか、,,이제는 더 이상 확신이 없어… 내가 정말 살아 있는 건지,现在，我不再确定…我是否真正活着，,"Jetzt bin ich mir nicht mehr sicher… ob ich wirklich lebe,",ตอนนี้ฉันไม่แน่ใจเลย,Ngayon hindi na rin ako sigurado
ch6_bus8,atau cuma numpang lewat di hari-hari yang sama,None,/Script/Engine.DataTable'/Game/Dialogue/Chapter6_Dialogue.Chapter6_Dialogue',True,,Am I really alive or just passing through the same days again and again?,それとも同じ日々を繰り返しているだけなのか。,,아니면 이 똑같은 날들을 그저 떠도는 중인 건지,还是只是重复度过同样的日子。,oder einfach nur dieselben Tage immer wieder durchlebe.,ฉันยังมีชีวิตอยู่จริงๆ หรือแค่ผ่านวันเดิมๆ ซ้ำแล้วซ้ำเล่า?,Buhay ba talaga ako o paulit-ulit lang na dumadaan sa parehong araw?
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
